iter	Logloss
0	0.6511767145
1	0.6201832415
2	0.5920936822
3	0.5677946541
4	0.5480668358
5	0.5321474002
6	0.5162639383
7	0.5029124335
8	0.4904989518
9	0.4787524645
10	0.4704908364
11	0.4613755755
12	0.4522961495
13	0.4454637453
14	0.4386818676
15	0.4310219852
16	0.4258995703
17	0.4203080956
18	0.4150817209
19	0.4107630901
20	0.4067248827
21	0.402630954
22	0.399074917
23	0.3964993004
24	0.3943747943
25	0.3916799925
26	0.3889877921
27	0.3860837704
28	0.3838597096
29	0.3815873348
30	0.3796792893
31	0.3767229935
32	0.3751662665
33	0.3731212253
34	0.3714533067
35	0.3702667528
36	0.3688740995
37	0.367163941
38	0.365505386
39	0.3637795072
40	0.3615621721
41	0.3602343296
42	0.3589481258
43	0.357192038
44	0.3559587996
45	0.3550971606
46	0.3534239953
47	0.3520092203
48	0.351444757
49	0.349521767
50	0.3477875287
51	0.3467936047
52	0.3464927887
53	0.3448103449
54	0.3442275682
55	0.3431862655
56	0.3417145151
57	0.339866262
58	0.3386450391
59	0.3374576145
60	0.3370948319
61	0.3357571665
62	0.3356215241
63	0.3351423541
64	0.3334502536
65	0.3320516593
66	0.3316823617
67	0.331387955
68	0.3302524682
69	0.328563935
70	0.3276868132
71	0.3271504729
72	0.3262432017
73	0.3253637983
74	0.3248041401
75	0.3238214469
76	0.3225199168
77	0.3217884151
78	0.3202030428
79	0.3190413899
80	0.317793858
81	0.3168870361
82	0.3163479413
83	0.315142844
84	0.3138843823
85	0.3129835807
86	0.3115477485
87	0.3108502273
88	0.3095272615
89	0.3090333722
90	0.3082234393
91	0.3073307691
92	0.3063277012
93	0.3056115358
94	0.3050249158
95	0.3042232626
96	0.3032871559
97	0.3029921646
98	0.3027486659
99	0.3021701211
