iter	Passed	Remaining
0	4	442
1	30	1470
2	33	1083
3	44	1057
4	95	1823
5	143	2255
6	198	2639
7	199	2298
8	248	2512
9	264	2380
10	308	2494
11	338	2483
12	390	2612
13	441	2713
14	451	2560
15	452	2377
16	506	2470
17	509	2322
18	518	2211
19	527	2109
20	533	2005
21	582	2064
22	592	1982
23	593	1879
24	595	1787
25	642	1827
26	686	1857
27	689	1771
28	695	1702
29	740	1728
30	786	1750
31	837	1780
32	842	1710
33	861	1671
34	908	1686
35	911	1620
36	962	1639
37	964	1574
38	1012	1583
39	1057	1586
40	1100	1583
41	1142	1577
42	1184	1569
43	1232	1568
44	1278	1562
45	1284	1507
46	1329	1499
47	1375	1490
48	1380	1437
49	1427	1427
50	1432	1376
51	1480	1366
52	1482	1314
53	1527	1301
54	1532	1253
55	1542	1211
56	1589	1199
57	1640	1188
58	1688	1173
59	1732	1155
60	1736	1110
61	1775	1088
62	1776	1043
63	1779	1001
64	1820	980
65	1841	948
66	1859	915
67	1860	875
68	1905	856
69	1952	836
70	1992	813
71	1996	776
72	2041	754
73	2093	735
74	2111	703
75	2154	680
76	2211	660
77	2261	637
78	2315	615
79	2360	590
80	2406	564
81	2449	537
82	2489	509
83	2535	482
84	2581	455
85	2626	427
86	2669	398
87	2713	369
88	2749	339
89	2769	307
90	2787	275
91	2837	246
92	2880	216
93	2926	186
94	2974	156
95	3021	125
96	3065	94
97	3106	63
98	3147	31
99	3194	0
